Landsdel;Museer og Besøgssteder;Hovedmuseum;Museumstype;Museumskategori;Museumsnavn;Besøgende; Udstilling i alt;Besøgende 18 år og derover; fuld pris;Besøgende 18 år og derover; reduceret pris (inkl. årskort);Besøgende 18 år og derover; gratis;"Besøgende u. 18 år, 
ej undervisning";"Besøgende u. 18 år, 
undervisning";Besøgende; uspecificeret;Besøgende; Besøgssted;Åbningstimer;Antal arrangementer;Deltagere til arrangementer i alt;Deltagere u. 18 år; undervisning;Deltagere u. 18 år; undervisning;Deltagere;18 år og derover eller uspecificeret;Antal online arrangementer (livestream);Deltagere til online arrangementer;Bemærkning;;;;;
Vest- og Sydsjælland;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Liselund Gl. Slot;305;0;0;0;0;0;305;305;215;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Østsjællands Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Den Selvejende Institution Østsjællands Museum;1.101;850;226;25;0;0;0;1.101;776;2;20;20;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Østsjællands Museum;Statsanderkendt i henhold til museumsloven;Naturhistorisk museum;Geomuseum Faxe;19.872;10.081;1.136;0;4.540;4.115;0;19.872;1.800;4;213;0;0;213;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Østsjællands Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Koldkrigsmuseum Stevnsfort;32.319;23.531;0;432;3.988;4.368;0;32.319;1.681;1;35;0;0;35;0;0;;;;;;;;;;;;;;;
Fyn;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Faaborg Museum;23.828;12.214;4.376;4.922;1.276;1.040;0;23.828;1.425;3;145;0;0;145;0;0;;;;;;;;;;;;;;;
Fyn;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Marstal Søfartsmuseum;18.937;10.670;1.214;3.316;2.522;1.215;0;18.937;1.960;1;140;0;0;140;0;0;;;;;;;;;;;;;;;
Fyn;Museum;;Statsanderkendt i henhold til museumsloven;Naturhistorisk museum;Naturama;78.971;20.661;7.029;10.647;31.512;9.122;0;78.971;2.384;34;41.000;35.000;6.000;0;0;0;;;;;;;;;;;;;;;
Fyn;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museum Vestfyn;6.941;3.243;571;2.266;823;38;0;6.990;1.932;20;6.029;557;25;5.447;0;0;;;;;;;;;;;;;;;
Fyn;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Middelfart Museum;25.871;3.580;740;18.014;2.397;1.140;0;28.974;1.429;24;2.205;0;140;2.065;0;0;;;;;;;;;;;;;;;
Fyn;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Brandts;113.748;26.100;31.740;38.169;11.640;6.099;0;113.748;2.300;9;135;35;100;0;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Langelands museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Langelands museum;74.533;28.957;1.031;36.722;6.204;1.619;0;74.533;1.860;40;1.158;0;0;1.158;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Odense Bys Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;H.C. Andersens Barndomshjem;43.982;32.531;0;2.288;7.228;1.935;0;43.982;1.754;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Odense Bys Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Den Fynske Landsby;79.382;23.349;0;29.312;21.052;5.669;0;92.698;1.287;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Odense Bys Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Møntergården;44.050;25.362;0;5.490;8.586;4.612;0;47.040;2.018;19;2.801;0;0;2.801;4;440;;;;;;;;;;;;;;;
Fyn;Besøgssted;Odense Bys Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Carl Nielsen Barndomshjem;1.911;611;0;1.231;54;15;0;1.911;528;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
